2月16日：疫情期间在家中点外卖当外卖送到时我们最好怎么做?  答案： 将外包装袋丢弃 ​
2月17日：为了减少接触病毒进出办公室大门时最好选择  答案： 用纸巾包住门把手 ​
2月18日：疫情期间下列选项中正确使用84消毒液的做法是？  答案： 稀释后使用 ​
2月19日：今年过年回家的大学生小明未经学校批准可以提前返校吗？  答案： 不可以 ​
2月20日：小王因接受医学观察无法正常上班，他的工资应该怎么发？  答案： 企业应按正常发放 ​
2月21日：疫情期间我们在网购时下列更安全的做法是  答案： 要求无接触送货 ​
2月22日：使用酒精擦拭家具进行消毒时我们需要注意  答案： 保持室内通风 ​
2月23日：面对疫情如果觉得自己的负面情绪影响了生活该怎么做?  答案： 求助专业心理热线 ​
2月24日：关于理财产品高风险一定会有高回报这种说法是？  答案： 错的 ​
2月25日：疫情期间乘坐高铁，发现旁边有人一直咳嗽，你应该  答案： 向列车员反映 ​
2月26日：小鸡宝宝考考你，小明公司已正式复工，按发改委要求，公司需做到什么  答案： 给小明发口罩 ​
2月27日：小鸡宝宝考考你，受疫情影响没领到工资，尚未还清的国家助学贷款该怎么办  答案： 可以适当延期偿还 ​
2月28日：小鸡宝宝考考你，疫情期间乘坐高特，发现旁边有人一直咳嗽，你应该  答案： 向列车员反映 ​
2月29日：小鸡宝宝考考你，疫情期间，我们的哪些个人防护用品是可以带上飞机的  答案： 医用口罩、护目镜 ​
3月1日：小鸡宝宝考考你，红娘这个称呼最早出现在哪部作品中  答案： 《西厢记》 ​
3月2日：②小鸡宝宝考考你，历史上东征西讨，镇守娘子关的霸气女将军是谁  答案： 平阳昭公主 ​
3月2日：①打开的红葡萄酒塞上软木塞后放进冰箱能够保存多久？  答案： 2-3周 ​
3月3日：②小鸡宝宝考考你，收到邮件称你的游戏账号被盗，正确的做法是  答案： 先与客服核实真假 ​
3月3日：①婚后买的房子没写老婆的名字卖房时？  答案： 需要夫妻双方签字 ​
3月4日：小鸡宝宝考考你，海苔主要是由下列哪种海藻制作而成的  答案： 紫菜 ​
3月5日：小鸡宝宝考考你，收到短信称外卖订单已关闭，点链接获取退款，你应该  答案： 与外卖商家核实 ​
3月6日：小鸡宝宝考考你，万里长江最终汇入的是什么海  答案： 东海 ​
3月7日：小鸡宝宝考考你，在二手商品交易平台上购物时，我们应该  答案： 选择正规交易平台 ​
3月8日：小鸡宝宝考考你，世界上最大的海是什么海  答案： 珊瑚海 ​
3月9日：小鸡宝宝考考你，下列哪种动物跟小壁虎的尾巴一样有再生功能  答案： 海星 ​
3月10日：小鸡宝宝考考你，龙涎香来自于以下哪种海洋生物  答案： 抹香鲸 ​
3月11日：小鸡宝宝考考你，下列选项中被称为打孔巨匠的海洋生物是  答案： 韦德尔海豹 ​
3月12日：小鸡宝宝考考你，下列选项中因为价格高昂，被称为软黄金的鱼类是  答案： 鳗鱼苗 ​
3月13日：小鸡宝宝考考你，以下哪种动物被称为沙漠之舟  答案： 骆驼 ​
3月14日：小鸡宝宝考考你，下列选项中被称为死亡之海的沙漠是  答案： 塔克拉玛干沙漠 ​
3月15日：小鸡宝宝考考你，小明买了一件200元的外套，后来证实是假货，他可以索赔  答案： 600元 ​
************************************************************************************************************************
3月16日：小鸡宝宝考考你，小明今年10岁，他的个人信息属于个人敏感信息范围吗  答案： 属于 ​
3月17日：小鸡宝宝考考你，成语腰缠万贯中的一贯通常是指多少  答案： 一千文 ​
3月17日：鱼与熊掌不可兼得是形容理财的什么特点？  答案： 收益和风险正相关 ​
3月18日：小鸡宝宝考考你，世界上最早出现的纸币是什么  答案： 交子 ​
3月19日：小鸡宝宝考考你，鱼与熊掌不可兼得是形容理财的什么特点  答案： 收益和风险正相关 ​
3月19日：小鸡宝宝考考你初入职场的小明想开始对工资理财下列哪种方式更适合他  答案： 基金定投 ​
